Make,Model,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,,Total Sales
Chevrolet,Volt,603,"1,626","3,915","5,377","7,057","8,817","10,666","13,497","16,348","19,309","20,828","23,461","24,601","26,227","27,705","29,011","30,618","33,316","35,104","38,455","40,221","42,243","44,163","46,555","47,473","48,683","50,161","51,709","53,393","55,170","57,190","59,701","61,095","62,534","63,870","65,360","65,902","66,595","67,234","68,139","69,757","70,982","72,295","73,675","74,624","76,659","78,639","80,753","81,749","82,875","84,740","86,723","88,624","90,561","92,967","95,048","97,079","99,270","101,801","105,492","107,103","108,923","111,055","112,862","114,679","116,424","117,942","119,387","120,840","122,202","123,904","125,841","126,554","127,537","129,319","130,644","132,319","133,655","135,130","136,955","139,084","140,559","143,089","144,147","144,822","145,437","146,667","147,072","14,748","147,813","148,063","148,337","148,687","148,757","148,907","149,057",,"7,856,766"
Nissan,Leaf,676,"1,154","1,733","2,103","2,613","3,148","3,543","4,228","5,212","6,791","8,330","9,819","10,469","11,122","13,358","15,295","17,433","19,658","21,522","23,942","25,895","27,897","29,900","32,429","33,681","35,106","37,613","39,701","42,818","45,165","48,184","51,370","54,251","56,840","59,527","62,629","63,699","64,897","66,714","68,267","70,371","72,445","73,619","75,012","76,259","77,497","78,551","79,898","80,653","81,583","82,829","83,616","84,595","85,691","86,754","87,820","89,136","90,548","92,005","93,904","94,676","95,713","97,191","98,254","99,646","101,152","102,435","103,589","104,644","104,857","105,032","105,134","105,284","106,179","107,679","108,850","110,426","111,793","112,942","114,257","115,820","117,054","118,182","119,849","120,566","121,220","122,534","123,485","124,701","125,857","126,795","127,912","12,896","129,847","130,987","132,214",,"6,731,170"
Tesla,Model S, -   , -   , -   , -   , -   ,12,31,74,160,460,860,"2,650","3,850","5,250","7,550","9,650","11,350","12,700","14,000","15,300","16,800","17,600","18,800","20,300","21,100","22,189","23,489","24,589","25,589","27,089","27,889","28,489","30,989","32,289","33,489","36,989","38,089","39,239","41,689","43,389","45,789","48,589","50,189","51,489","53,989","55,889","58,591","62,191","63,041","64,591","68,581","69,381","70,581","74,281","76,235","79,087","83,437","84,137","85,237","91,087","91,987","93,737","97,187","98,312","99,932","102,282","103,707","105,857","110,717","111,837","113,172","118,147","118,947","120,072","123,447","124,697","126,217","128,967","130,167","132,792","136,542","137,892","140,642","143,892","144,617","145,242","147,517","148,342","149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",,"6,616,676"
Tesla,Model 3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30,105,222,367,704,"1,764","3,639","6,124","9,944","13,694","19,694","25,596","39,846","57,646","79,896","97,646","116,296","141,546","148,046","153,796","163,971","174,021","187,971","209,196","221,746","234,096","253,196","270,471","285,471","300,471",,"3,217,211"
Toyota,Prius PHV, -   ,21,912,"2,566","3,652","4,347","5,035","6,082","7,734","9,623","11,389","12,750","13,624","14,317","15,103","15,702","16,380","16,964","17,781","19,572","20,724","22,819","23,919","24,838","25,641","26,682","28,134","29,875","32,567","34,138","35,509","36,327","36,680","37,159","37,610","38,102","38,503","38,900","39,373","39,801","40,528","40,992","41,576","41,920","42,136","42,227","42,271","42,293","42,303","42,309","42,316","42,320","42,324","42,335","42,339","42,341","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345","42,345",,"3,207,185"
Ford,Fusion Energi, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,119,414,778,"1,194","1,584","1,991","2,591","3,341","4,428","5,298","6,089","6,622","7,401","8,300","9,043","10,385","12,324","13,550","14,772","15,412","16,098","16,850","17,639","18,065","18,668","19,505","20,216","21,202","21,929","22,781","23,730","24,538","25,387","26,331","27,389","27,970","28,902","30,140","31,471","32,924","34,624","35,965","37,387","39,039","40,411","42,228","43,327","43,933","44,770","45,772","46,677","47,677","48,384","49,087","49,849","50,612","51,353","52,084","52,959","53,599","54,393","55,175","55,917","56,657","57,261","57,783","58,179","58,659","59,112","60,243","61,033","61,590","62,163","62,774","63,359","63,964","64,639","65,359","65,979","66,679","67,279","67,879","68,557",,"2,921,741"
Ford,C-Max Energi, -   , -   , -   , -   , -   , -   , -   , -   , -   ,144,"1,403","2,374","2,712","3,046","3,540","3,951","4,401","4,856","5,289","5,910","6,668","7,760","8,701","9,528","9,999","10,551","11,161","11,686","12,468","13,456","14,287","15,337","16,014","16,658","17,302","17,961","18,356","18,854","19,569","20,122","20,837","21,504","22,197","22,920","23,639","24,334","24,973","25,552","25,902","26,392","27,002","27,609","28,147","28,777","29,532","30,239","30,928","31,499","32,220","33,509","33,982","34,621","35,283","36,003","36,953","37,889","38,733","39,438","40,121","40,690","41,213","41,649","41,883","42,025","42,130","42,187","42,205","42,211","42,215","42,219","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231","42,231",,"2,321,122"
Tesla,Model X, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,10,15,214,484,754,"2,614","3,409","5,009","7,154","7,904","9,737","12,937","13,662","14,562","18,437","19,187","19,987","22,737","23,452","25,182","27,382","29,032","30,607","33,727","34,577","36,452","39,752","40,452","41,427","44,252","45,277","46,727","49,277","50,602","53,352","57,327","58,552","61,752","65,852","66,627","67,527","69,702","70,752","72,127","74,852","76,077","77,902","79,577","81,077","83,077","85,077",,"1,958,205"
BMW,i3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,336,694,"1,057","2,082","3,104","4,263","5,079","6,092","6,762","7,851","8,773","9,179","9,997","10,548","11,483","12,275","13,985","14,971","15,694","17,116","17,298","17,546","17,878","18,692","19,388","19,996","21,475","22,488","22,879","23,321","23,950","24,741","25,123","25,441","26,144","26,660","27,166","27,733","28,334","28,838","29,376","30,062","30,345","31,017","31,399","32,022","33,014","33,517","33,941","34,521","34,985","35,403","35,864","36,288","36,778","37,134","37,389","37,739","38,098","38,429","38,868","39,341","39,645",403,"40,497","40,856","41,774","41,988",,"1,597,125"
Toyota,Prius Prime, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,781,"2,422","3,788","5,150","6,768","8,587","10,495","12,114","13,759","15,579","17,478","19,104","20,938","23,358","24,854","26,904","29,826","32,452","35,376","37,613","39,597","41,668","43,881","45,882","48,194","50,953","52,076","53,281","55,101","56,500","58,414","59,558","62,508","65,008","66,658","68,976","71,766","74,583",,"1,361,950"
